Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne)
1/8/24,"5,282.67","6,709.33","6,730.95","6,239.26"
31/07/2024,"5,584.33","7,058.67","7,116.99","6,580.01"
30/07/2024,"5,662.00","7,141.00","7,205.50","6,666.17"
29/07/2024,"5,459.33","6,883.00","6,952.53","6,426.23"
26/07/2024,"5,611.00","7,054.33","7,139.25","6,575.60"
25/07/2024,"5,477.00","6,883.67","6,972.58","6,421.05"
24/07/2024,"5,750.67","7,306.33","7,372.27","6,793.54"
23/07/2024,"5,890.33","7,368.67","7,490.96","6,901.42"
22/07/2024,"5,929.00","7,371.67","7,515.97","6,907.93"
19/07/2024,"5,475.00","6,840.33","6,960.99","6,393.32"
18/07/2024,"5,703.00","7,192.33","7,299.98","6,687.51"
17/07/2024,"5,441.00","6,897.33","6,989.94","6,393.35"
16/07/2024,"5,571.33","7,002.00","7,113.59","6,535.26"
15/07/2024,"6,009.33","7,568.33","7,687.68","7,046.53"
12/7/24,"5,836.67","7,393.67","7,490.08","6,870.28"
11/7/24,"5,974.00","7,477.33","7,600.56","6,992.51"
10/7/24,"5,700.67","7,085.00","7,207.46","6,659.33"
9/7/24,"5,759.33","7,266.33","7,319.43","6,769.74"
8/7/24,"5,472.67","6,952.00","6,990.00","6,451.42"
5/7/24,"5,582.67","6,900.33","7,030.33","6,492.86"
4/7/24,"5,324.00","6,921.17","6,861.82","6,347.18"
3/7/24,"5,539.00","6,942.00","7,010.56","6,491.78"
2/7/24,"5,549.33","6,819.00","6,930.14","6,456.11"
1/7/24,"5,279.67","6,369.33","6,527.62","6,085.37"
28/06/2024,"5,451.67","6,654.00","6,776.68","6,324.00"
27/06/2024,"5,259.00","6,385.67","6,524.02","6,092.78"
26/06/2024,"5,636.67","6,853.00","6,988.73","6,543.20"
25/06/2024,"5,672.67","6,877.00","7,038.37","6,575.60"
24/06/2024,"5,650.00","6,908.33","7,041.49","6,563.73"
21/06/2024,"6,252.00","7,681.00","7,797.86","7,292.17"
20/06/2024,"6,315.67","7,851.00","7,930.90","7,407.06"
19/06/2024,"6,640.33","8,031.00","8,244.56","7,670.74"
18/06/2024,"6,627.67","8,211.00","8,317.88","7,745.61"
17/06/2024,"6,518.67","8,104.00","8,192.49","7,639.91"
14/06/2024,"7,907.00","9,385.00","9,712.85","9,078.12"
13/06/2024,"8,093.67","9,903.00","10,121.94","9,410.87"
12/6/24,"7,811.00","9,696.33","9,867.71","9,101.48"
11/6/24,"7,361.33","9,167.33","9,271.36","8,638.13"
10/6/24,"7,185.67","8,683.67","8,920.54","8,298.33"
7/6/24,"7,266.67","9,136.67","9,196.29","8,509.79"
6/6/24,"7,167.67","9,026.00","9,097.62","8,361.17"
5/6/24,"6,936.67","8,701.00","8,782.86","8,085.06"
4/6/24,"7,005.33","8,827.67","8,896.02","8,177.22"
3/6/24,"7,028.67","8,769.67","8,882.30","8,160.17"
31/05/2024,"6,835.67","8,547.67","8,626.96","7,957.07"
30/05/2024,"6,807.67","8,509.00","8,594.56","7,930.63"
29/05/2024,"6,907.00","8,492.33","8,640.23","7,992.64"
