CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100),Purchase History,Sales
1,41,Female,147,79,35,245
2,42,Male,37,32,31,403
3,24,Female,72,8,41,492
4,69,Male,60,97,70,350
5,23,Female,36,18,58,348
6,41,Female,22,45,13,78
7,50,Male,137,93,87,1218
8,66,Female,34,96,46,598
9,46,Female,92,33,40,520
10,60,Male,53,5,14,182
11,39,Male,51,82,63,315
12,43,Female,89,74,44,484
13,45,Female,132,36,58,406
14,67,Female,118,97,43,559
15,38,Male,45,23,11,132
16,66,Female,137,40,8,56
17,24,Female,68,5,19,95
18,34,Female,48,34,80,1040
19,37,Male,136,24,52,728
20,58,Male,127,17,10,50
21,66,Male,76,95,77,539
22,37,Male,37,71,39,390
23,39,Female,60,81,76,760
24,45,Male,70,92,75,1050
25,57,Female,149,22,72,576
26,66,Female,132,15,62,372
27,24,Female,145,15,81,1134
28,18,Female,127,25,23,230
29,49,Male,58,53,66,924
30,30,Male,142,21,75,675
31,47,Male,122,66,14,140
32,40,Male,31,91,29,319
33,68,Male,73,32,48,624
34,36,Female,113,21,62,682
35,49,Male,98,68,29,232
36,47,Male,59,44,97,1358
37,46,Male,122,83,80,720
38,66,Male,76,66,44,440
39,62,Female,73,90,80,1040
40,46,Female,25,98,74,666
41,47,Female,116,14,14,126
42,33,Female,84,15,70,770
43,57,Female,137,20,29,174
44,36,Male,48,34,75,525
45,35,Female,115,36,91,546
46,18,Female,118,83,15,210
47,31,Female,54,9,40,560
48,68,Male,33,71,53,318
49,64,Male,81,30,52,364
50,67,Female,96,77,91,910
51,19,Male,78,91,11,99
52,45,Male,97,63,95,855
53,66,Female,61,35,81,486
54,67,Male,20,13,55,330
55,47,Male,30,79,21,105
56,55,Male,53,46,36,252
57,68,Female,127,56,30,330
58,21,Female,85,9,26,234
59,18,Female,124,87,17,187
60,25,Male,69,36,16,208
61,46,Female,143,3,75,750
62,56,Male,63,98,5,30
63,20,Male,35,19,37,185
64,49,Male,51,28,18,90
65,27,Female,130,23,68,952
66,27,Female,38,7,47,611
67,36,Female,69,76,62,620
68,63,Female,39,14,45,450
69,51,Male,149,46,85,680
70,50,Female,141,15,72,432
71,40,Male,107,67,43,602
72,45,Female,108,15,5,35
73,49,Female,85,51,45,315
74,67,Female,136,88,49,588
75,24,Male,38,8,92,920
76,46,Male,25,69,92,1012
77,25,Male,87,62,83,1079
78,18,Male,26,51,85,425
79,20,Male,49,63,17,102
80,41,Female,37,68,75,975
81,40,Male,97,78,13,117
82,25,Male,102,16,67,536
83,64,Male,94,84,27,135
84,54,Male,111,24,58,754
85,20,Female,48,6,51,663
86,68,Male,89,57,43,344
87,50,Female,142,31,91,1183
88,45,Female,45,6,30,420
89,64,Female,144,99,5,25
90,25,Male,117,79,18,162
91,51,Female,29,29,78,390
92,52,Male,71,67,69,552
93,49,Male,89,75,73,657
94,41,Male,48,3,71,497
95,31,Male,117,28,53,318
96,49,Male,89,74,54,540
97,63,Female,43,97,62,434
98,60,Female,30,48,57,798
99,33,Male,91,80,95,475
100,21,Female,51,10,61,549
101,69,Male,95,33,90,540
102,54,Female,138,100,22,132
103,38,Female,33,67,20,160
104,31,Female,116,69,6,48
105,48,Female,91,12,17,136
106,65,Female,55,57,49,539
107,35,Male,75,44,84,420
108,24,Male,40,13,76,912
109,27,Female,85,24,47,658
110,24,Male,117,44,76,988
111,50,Female,84,57,58,812
