id,group,sex,quanti,points,exam,passed
0,A,m,9,65,60.5,yes
0,A,m,9,73.5,50,yes
0,A,m,9,77,37,yes
0,B,m,9,80,41,yes
0,B,m,9,80,68,yes
0,B,m,10,69.5,50,yes
0,B,m,10,70,50,yes
0,B,f,7,57.5,-,no
1,A,m,4,31.5,-,no
1,A,m,8,65.5,-,no
1,A,m,10,69,39.5,yes
1,A,m,10,77,61,yes
1,A,m,10,87.5,59.5,yes
1,A,f,10,79,39.5,yes
1,A,f,10,79,40,yes
1,B,m,1,7.5,-,no
1,B,m,2,12,-,no
1,B,m,10,77,53,yes
1,B,f,9,65.5,42,yes
1,B,f,10,76,42.5,yes
1,C,m,6,40.5,-,no
1,C,m,8,65.5,-,no
1,C,m,10,73.5,36.5,yes
2,A,m,10,61,15.5,no
2,A,m,10,68,35,yes
2,A,m,10,68,47,yes
2,B,m,6,54,-,no
2,B,m,8,56.5,41.5,yes
2,B,m,8,67,36,yes
2,B,m,9,63.5,53,yes
2,B,m,10,60,53.5,yes
2,B,m,10,64,-,no
2,B,m,10,67,41.5,yes
2,B,m,10,70,60,yes
2,C,m,3,23.5,-,no
2,C,m,10,73,52,yes
3,A,m,5,36.5,43,yes
3,A,m,7,42,-,no
3,A,m,9,63.5,8,no
3,A,m,9,77,62.5,yes
3,B,m,8,54.5,-,no
3,B,m,8,56.5,33,no
3,B,m,9,62.5,7,no
3,B,m,10,67.5,44.5,yes
3,B,m,10,80,66,yes
3,C,m,9,60,-,no
4,A,m,8,67,35.5,yes
4,A,m,8,69,-,no
4,A,m,10,70,54,yes
4,B,m,3,19.5,-,no
4,B,m,9,66,56,yes
4,B,m,10,76,35,yes
4,C,m,10,78,43.5,yes
5,A,m,6,35,-,no
5,A,m,9,67.5,42,yes
5,A,m,10,68,43,yes
5,A,m,10,68,43,yes
5,A,m,10,69,22.5,no
5,A,m,10,70.5,45.5,yes
5,A,m,10,79.5,55.5,yes
5,B,m,2,12,-,no
5,B,m,6,54,-,no
5,B,m,9,47.5,32,no
5,B,m,10,66.5,16,no
5,B,m,10,70.5,55,yes
6,A,m,2,14.5,-,no
6,A,m,9,65,43,yes
6,A,m,10,67.5,29.5,no
6,A,f,6,35,-,no
6,B,m,9,73.5,40,yes
6,B,m,10,60,45,yes
6,B,m,10,69.5,47.5,yes
6,B,m,10,94,64.5,yes
6,C,f,6,40.5,-,no
7,A,m,2,8,-,no
7,A,m,6,35,-,no
7,A,m,9,46,-,no
7,A,m,9,63.5,-,no
7,A,m,9,78,55,yes
7,A,m,10,64,50,yes
7,A,m,10,67,50,yes
7,A,m,10,87.5,65,yes
7,B,m,2,12,-,no
7,B,m,4,31.5,-,no
7,B,m,5,43,-,no
7,B,m,10,64,50,yes
7,B,m,10,70.5,52,yes
7,B,m,10,84,57,yes
7,B,m,10,94,65,yes
7,C,f,3,23.5,-,no
8,A,m,1,7,-,no
8,A,m,5,36.5,24.5,no
8,A,m,7,42,-,no
8,A,m,8,66.5,36.5,yes
8,A,m,8,67,50,yes
8,A,m,8,67,54,yes
8,A,m,9,60,36,yes
8,A,m,10,61,45.5,yes
8,A,m,10,67,35,yes
8,A,m,10,72,55,yes
8,B,m,1,3,-,no
8,B,m,4,31.5,-,no
8,B,m,6,54,-,no
9,A,m,9,65,30,no
9,A,m,9,77.5,42.5,yes
9,A,m,9,77.5,53.5,yes
9,B,m,1,6,-,no
9,B,m,9,62.5,47.5,yes
9,B,m,9,63.5,41.5,yes
9,B,m,10,67,35,yes
9,B,m,10,94,53,yes
9,C,m,2,17,-,no
9,C,m,10,67,36.5,yes
